Name,Genre,Director,LeadActor1,LeadActor2,BudgetMillion
Master of Time,Sci-Fi,Gareth Edwards,Tilda Swinton,Viola Davis,15
The Magic Express,Adventure,Ron Howard,Christian Convery,Hala Finley,9
Bad Kitty Reboot,Romance,Patricia Arquette,Paul Rudd,Reese Witherspoon,12
Atlantic Passage 1944,Action,John McTiernan,Stellan Skarsgard,Terrence Howard,11.5
Which Side Truth?,Drama,Christian Carion,Mads Mikkelsen,Frances McDormand,14
Christmas Night,Family,Anna Gutto,Tom Hanks,Madeliene McGraw,8
Old Country,Western,Ethan Coen,Juliette Binoche,Javier Bardem,13
Traffic Stop,Comedy,Harold Ramis,Jack Black,Ken Jeong,10.5
The Blue Memory,Fantasy,Terry Gilliam,Elijah Wood,Ewan McGregor,12
Coven Cult,Horror,Sam Raimi,Doug Bradley,Veronica Cartwright,8
Missing Cut,Thriller,David Mamet,Ben Kingsley,Helen Mirren,14
Buzzcuts,Adventure,Joseph Kosinski,Samuel L. Jackson,Josh Brolin,10
The Nantucket Incident,Mystery,Sebastian Lelio,Olivia Colman,Kodi Smit-McPhee,12
The Obituary Writer,Romance,Jane Campion,Emily Watson,Ben Whishaw,9.5